id,focus,signal,slack,drag,confidence,score,lane
l001,sync drift,35,33,6,25,166,ship
l002,local state,35,34,6,55,198,ship
l003,conflict cost,35,35,6,85,230,ship
l004,form pressure,35,36,18,25,112,watch
l005,sync drift,35,37,18,55,144,watch
l006,local state,35,38,18,85,176,ship
l007,conflict cost,35,39,34,25,38,hold
l008,form pressure,35,40,34,55,70,hold
l009,sync drift,35,41,34,85,102,hold
l010,local state,60,42,6,25,259,ship
l011,conflict cost,60,43,6,55,291,ship
l012,form pressure,60,44,6,85,323,ship
l013,sync drift,60,45,18,25,205,ship
l014,local state,60,46,18,55,237,ship
l015,conflict cost,60,47,18,85,269,ship
l016,form pressure,60,48,34,25,131,watch
l017,sync drift,60,32,34,55,129,watch
l018,local state,60,33,34,85,161,ship
l019,conflict cost,85,34,6,25,318,ship
l020,form pressure,85,35,6,55,350,ship
l021,sync drift,85,36,6,85,382,ship
l022,local state,85,37,18,25,264,ship
l023,conflict cost,85,38,18,55,296,ship
l024,form pressure,85,39,18,85,328,ship
l025,sync drift,85,40,34,25,190,ship
l026,local state,85,41,34,55,222,ship
l027,conflict cost,85,42,34,85,254,ship
